date,price
Feb 1980,113.660004
Mar 1980,102.089996
Apr 1980,106.290001
May 1980,111.239998
Jun 1980,114.239998
Jul 1980,121.669998
Aug 1980,122.379997
Sep 1980,125.459999
Oct 1980,127.470001
Nov 1980,140.520004
Dec 1980,135.759995
Jan 1981,129.550003
Feb 1981,131.270004
Mar 1981,136.000000
Apr 1981,132.809998
May 1981,132.589996
Jun 1981,131.210007
Jul 1981,130.919998
Aug 1981,122.790001
Sep 1981,116.180000
Oct 1981,121.889999
Nov 1981,126.349998
Dec 1981,122.550003
Jan 1982,120.400002
Feb 1982,113.110001
Mar 1982,111.959999
Apr 1982,116.440002
May 1982,111.879997
Jun 1982,109.610001
Jul 1982,107.089996
Aug 1982,119.510002
Sep 1982,120.419998
Oct 1982,133.720001
Nov 1982,138.529999
Dec 1982,140.639999
Jan 1983,145.300003
Feb 1983,148.059998
Mar 1983,152.960007
Apr 1983,164.429993
May 1983,162.389999
Jun 1983,167.639999
Jul 1983,162.559998
Aug 1983,164.399994
Sep 1983,166.070007
Oct 1983,163.550003
Nov 1983,166.399994
Dec 1983,164.929993
Jan 1984,163.410004
Feb 1984,157.059998
Mar 1984,159.179993
Apr 1984,160.050003
May 1984,150.550003
Jun 1984,153.179993
Jul 1984,150.660004
Aug 1984,166.679993
Sep 1984,166.100006
Oct 1984,166.089996
Nov 1984,163.580002
Dec 1984,167.240005
Jan 1985,179.630005
Feb 1985,181.179993
Mar 1985,180.660004
Apr 1985,179.830002
May 1985,189.550003
Jun 1985,191.850006
Jul 1985,190.919998
Aug 1985,188.630005
Sep 1985,182.080002
Oct 1985,189.820007
Nov 1985,202.169998
Dec 1985,211.279999
Jan 1986,211.779999
Feb 1986,226.919998
Mar 1986,238.899994
Apr 1986,235.520004
May 1986,247.350006
Jun 1986,250.839996
Jul 1986,236.119995
Aug 1986,252.929993
Sep 1986,231.320007
Oct 1986,243.979996
Nov 1986,249.220001
Dec 1986,242.169998
Jan 1987,274.079987
Feb 1987,284.200012
Mar 1987,291.700012
Apr 1987,288.359985
May 1987,290.100006
Jun 1987,304.000000
Jul 1987,318.660004
Aug 1987,329.799988
Sep 1987,321.829987
Oct 1987,251.789993
Nov 1987,230.300003
Dec 1987,247.080002
Jan 1988,257.070007
Feb 1988,267.820007
Mar 1988,258.890015
Apr 1988,261.329987
May 1988,262.160004
Jun 1988,273.500000
Jul 1988,272.019989
Aug 1988,261.519989
Sep 1988,271.910004
Oct 1988,278.970001
Nov 1988,273.700012
Dec 1988,277.720001
Jan 1989,297.470001
Feb 1989,288.859985
Mar 1989,294.869995
Apr 1989,309.640015
May 1989,320.519989
Jun 1989,317.980011
Jul 1989,346.079987
Aug 1989,351.450012
Sep 1989,349.149994
Oct 1989,340.359985
Nov 1989,345.989990
Dec 1989,353.399994
Jan 1990,329.079987
Feb 1990,331.890015
Mar 1990,339.940002
Apr 1990,330.799988
May 1990,361.230011
Jun 1990,358.019989
Jul 1990,356.149994
Aug 1990,322.559998
Sep 1990,306.049988
Oct 1990,304.000000
Nov 1990,322.220001
Dec 1990,330.220001
Jan 1991,343.929993
Feb 1991,367.070007
Mar 1991,375.220001
Apr 1991,375.339996
May 1991,389.829987
Jun 1991,371.160004
Jul 1991,387.809998
Aug 1991,395.429993
Sep 1991,387.859985
Oct 1991,392.450012
Nov 1991,375.220001
Dec 1991,417.089996
Jan 1992,408.779999
Feb 1992,412.700012
Mar 1992,403.690002
Apr 1992,414.950012
May 1992,415.350006
Jun 1992,408.140015
Jul 1992,424.209991
Aug 1992,414.029999
Sep 1992,417.799988
Oct 1992,418.679993
Nov 1992,431.350006
Dec 1992,435.709991
Jan 1993,438.779999
Feb 1993,443.380005
Mar 1993,451.670013
Apr 1993,440.190002
May 1993,450.190002
Jun 1993,450.529999
Jul 1993,448.130005
Aug 1993,463.559998
Sep 1993,458.929993
Oct 1993,467.829987
Nov 1993,461.790009
Dec 1993,466.450012
Jan 1994,481.609985
Feb 1994,467.140015
Mar 1994,445.769989
Apr 1994,450.910004
May 1994,456.500000
Jun 1994,444.269989
Jul 1994,458.260010
Aug 1994,475.489990
Sep 1994,462.709991
Oct 1994,472.350006
Nov 1994,453.690002
Dec 1994,459.269989
Jan 1995,470.420013
Feb 1995,487.390015
Mar 1995,500.709991
Apr 1995,514.710022
May 1995,533.400024
Jun 1995,544.750000
Jul 1995,562.059998
Aug 1995,561.880005
Sep 1995,584.409973
Oct 1995,581.500000
Nov 1995,605.369995
Dec 1995,615.929993
Jan 1996,636.020020
Feb 1996,640.429993
Mar 1996,645.500000
Apr 1996,654.169983
May 1996,669.119995
Jun 1996,670.630005
Jul 1996,639.950012
Aug 1996,651.989990
Sep 1996,687.330017
Oct 1996,705.270020
Nov 1996,757.020020
Dec 1996,740.739990
Jan 1997,786.159973
Feb 1997,790.820007
Mar 1997,757.119995
Apr 1997,801.340027
May 1997,848.280029
Jun 1997,885.140015
Jul 1997,954.309998
Aug 1997,899.469971
Sep 1997,947.280029
Oct 1997,914.619995
Nov 1997,955.400024
Dec 1997,970.429993
Jan 1998,980.280029
Feb 1998,1049.339966
Mar 1998,1101.750000
Apr 1998,1111.750000
May 1998,1090.819946
Jun 1998,1133.839966
Jul 1998,1120.670044
Aug 1998,957.280029
Sep 1998,1017.010010
Oct 1998,1098.670044
Nov 1998,1163.630005
Dec 1998,1229.229980
Jan 1999,1279.640015
Feb 1999,1238.329956
Mar 1999,1286.369995
Apr 1999,1335.180054
May 1999,1301.839966
Jun 1999,1372.709961
Jul 1999,1328.719971
Aug 1999,1320.410034
Sep 1999,1282.709961
Oct 1999,1362.930054
Nov 1999,1388.910034
Dec 1999,1469.250000
Jan 2000,1394.459961
Feb 2000,1366.420044
Mar 2000,1498.579956
Apr 2000,1452.430054
May 2000,1420.599976
Jun 2000,1454.599976
Jul 2000,1430.829956
Aug 2000,1517.680054
Sep 2000,1436.510010
Oct 2000,1429.400024
Nov 2000,1314.949951
Dec 2000,1320.280029
Jan 2001,1366.010010
Feb 2001,1239.939941
Mar 2001,1160.329956
Apr 2001,1249.459961
May 2001,1255.819946
Jun 2001,1224.380005
Jul 2001,1211.229980
Aug 2001,1133.579956
Sep 2001,1040.939941
Oct 2001,1059.780029
Nov 2001,1139.449951
Dec 2001,1148.079956
Jan 2002,1130.199951
Feb 2002,1106.729980
Mar 2002,1147.390015
Apr 2002,1076.920044
May 2002,1067.140015
Jun 2002,989.820007
Jul 2002,911.619995
Aug 2002,916.070007
Sep 2002,815.280029
Oct 2002,885.760010
Nov 2002,936.309998
Dec 2002,879.820007
Jan 2003,855.700012
Feb 2003,841.150024
Mar 2003,848.179993
Apr 2003,916.919983
May 2003,963.590027
Jun 2003,974.500000
Jul 2003,990.309998
Aug 2003,1008.010010
Sep 2003,995.969971
Oct 2003,1050.709961
Nov 2003,1058.199951
Dec 2003,1111.920044
Jan 2004,1131.130005
Feb 2004,1144.939941
Mar 2004,1126.209961
Apr 2004,1107.300049
May 2004,1120.680054
Jun 2004,1140.839966
Jul 2004,1101.719971
Aug 2004,1104.239990
Sep 2004,1114.579956
Oct 2004,1130.199951
Nov 2004,1173.819946
Dec 2004,1211.920044
Jan 2005,1181.270020
Feb 2005,1203.599976
Mar 2005,1180.589966
Apr 2005,1156.849976
May 2005,1191.500000
Jun 2005,1191.329956
Jul 2005,1234.180054
